# time_ms,control,value
36893,rstick_y,-21639
36896,rstick_x,-20973
36896,rstick_y,-21853
36901,rstick_x,-20973
36901,rstick_y,-21853
36903,rstick_x,-20973
36903,rstick_y,-21853
36910,rstick_x,-20973
36910,rstick_y,-21853
36918,rstick_x,-20973
36918,rstick_y,-21853
36928,rstick_x,-20973
36928,rstick_y,-21853
36933,rstick_x,-20973
36933,rstick_y,-21853
36938,rstick_x,-21155
36938,rstick_y,-22318
36944,rstick_x,-21155
36944,rstick_y,-22318
36949,rstick_x,-21155
36949,rstick_y,-22318
36957,rstick_x,-21155
36957,rstick_y,-22318
36965,rstick_x,-21155
36965,rstick_y,-22318
36970,rstick_x,-20537
36970,rstick_y,-22495
36978,rstick_x,-20537
36978,rstick_y,-22495
36982,rstick_x,-20537
36982,rstick_y,-22495
36994,rstick_x,-20537
36994,rstick_y,-22495
36997,rstick_x,-20537
36997,rstick_y,-22495
37003,rstick_x,-19147
37003,rstick_y,-22542
37006,rstick_x,-19147
37006,rstick_y,-22542
37009,rstick_x,-19147
37009,rstick_y,-22542
37013,rstick_x,-19147
37013,rstick_y,-22542
37022,rstick_x,-19147
37022,rstick_y,-22542
37028,rstick_x,-8861
37028,rstick_y,-22061
37038,rstick_x,-8861
37038,rstick_y,-22061
37045,rstick_x,-8861
37045,rstick_y,-22061
37055,rstick_x,-8861
37055,rstick_y,-22061
37061,rstick_x,-8861
37061,rstick_y,-22061
37069,rstick_x,-8861
37069,rstick_y,-22061
37073,rstick_x,-6899
37073,rstick_y,-20757
37078,rstick_x,-6899
37078,rstick_y,-20757
37085,rstick_x,-6899
37085,rstick_y,-20757
37093,rstick_x,-6899
37093,rstick_y,-20757
37097,rstick_x,-5968
37097,rstick_y,-20478
37101,rstick_x,-5968
37101,rstick_y,-20478
37110,rstick_x,-5025
37110,rstick_y,-20255
37127,rstick_x,-5025
37127,rstick_y,-20255
37135,rstick_x,-5025
37135,rstick_y,-20255
37140,rstick_x,-4050
37140,rstick_y,-20072
37144,rstick_x,-4050
37144,rstick_y,-20072
37147,rstick_x,-3031
37147,rstick_y,-19931
37157,rstick_x,-3031
37157,rstick_y,-19931
37165,rstick_x,-3031
37165,rstick_y,-19931
37170,rstick_x,-1982
37170,rstick_y,-19812
37178,rstick_x,-1982
37178,rstick_y,-19812
37181,rstick_x,-1982
37181,rstick_y,-19812
37192,rstick_x,-1982
37192,rstick_y,-19812
37197,rstick_x,-1982
37197,rstick_y,-19812
37205,rstick_x,-1982
37205,rstick_y,-19812
37210,rstick_x,2452
37210,rstick_y,-19534
37221,rstick_x,2452
37221,rstick_y,-19534
37230,rstick_x,3595
37230,rstick_y,-19534
37238,rstick_x,3595
37238,rstick_y,-19534
37242,rstick_x,4743
37242,rstick_y,-19483
37245,rstick_x,4743
37245,rstick_y,-19483
37248,rstick_x,4743
37248,rstick_y,-19483
37253,rstick_x,4743
37253,rstick_y,-19483
37262,rstick_x,5919
37262,rstick_y,-19483
37269,rstick_x,5919
37269,rstick_y,-19483
37281,rstick_x,5919
37281,rstick_y,-19483
37285,rstick_x,5919
37285,rstick_y,-19483
37290,rstick_x,8181
37290,rstick_y,-19483
37293,rstick_x,8181
37293,rstick_y,-19483
37304,rstick_x,8181
37304,rstick_y,-19483
37310,rstick_x,9289
37310,rstick_y,-19483
37317,rstick_x,10445
37317,rstick_y,-19483
37321,rstick_x,10445
37321,rstick_y,-19483
37328,rstick_x,10445
37328,rstick_y,-19483
37333,rstick_x,10445
37333,rstick_y,-19483
37347,rstick_x,10445
37347,rstick_y,-19483
37353,rstick_x,10445
37353,rstick_y,-19483
37358,rstick_x,12403
37358,rstick_y,-19483
37361,rstick_x,13199
37361,rstick_y,-19483
37365,rstick_x,13199
37365,rstick_y,-19483
37375,rstick_x,13199
37375,rstick_y,-19483
37378,rstick_x,13866
37378,rstick_y,-19483
37381,rstick_x,13866
37381,rstick_y,-19483
37387,rstick_x,14411
37387,rstick_y,-19483
37390,rstick_x,14411
37390,rstick_y,-19483
37394,rstick_x,14411
37394,rstick_y,-19483
37397,rstick_x,14411
37397,rstick_y,-19483
37403,rstick_x,14847
37403,rstick_y,-19483
37413,rstick_x,14847
37413,rstick_y,-19483
37421,rstick_x,14847
37421,rstick_y,-19483
37429,rstick_x,14847
37429,rstick_y,-19483
37437,rstick_x,14847
37437,rstick_y,-19483
37445,rstick_x,15464
37445,rstick_y,-19483
37453,rstick_x,15464
37453,rstick_y,-19483
37458,rstick_x,15683
37458,rstick_y,-19483
37461,rstick_x,15683
37461,rstick_y,-19483
37464,rstick_x,15853
37464,rstick_y,-19483
37469,rstick_x,15853
37469,rstick_y,-19483
37477,rstick_x,15853
37477,rstick_y,-19483
37485,rstick_x,15853
37485,rstick_y,-19483
37493,rstick_x,15853
37493,rstick_y,-19483
37501,rstick_x,15853
37501,rstick_y,-19483
37505,rstick_x,16081
37505,rstick_y,-19483
37509,rstick_x,16160
37509,rstick_y,-19483
37521,rstick_x,16160
37521,rstick_y,-19483
37527,rstick_x,16223
37527,rstick_y,-19483
37533,rstick_x,16223
37533,rstick_y,-19483
37537,rstick_x,16273
37537,rstick_y,-19483
37541,rstick_x,16273
37541,rstick_y,-19483
37549,rstick_x,16273
37549,rstick_y,-19483
37558,rstick_x,16273
37558,rstick_y,-19483
37565,rstick_x,16273
37565,rstick_y,-19483
37568,rstick_x,16345
37568,rstick_y,-19483
37572,rstick_x,16345
37572,rstick_y,-19483
37581,rstick_x,16345
37581,rstick_y,-19483
37589,rstick_x,16345
37589,rstick_y,-19483
37594,rstick_x,16371
37594,rstick_y,-19483
37597,rstick_x,16371
37597,rstick_y,-19483
37604,rstick_x,16371
37604,rstick_y,-19483
37613,rstick_x,16371
37613,rstick_y,-19483
37626,rstick_x,16371
37626,rstick_y,-19483
37633,rstick_x,16371
37633,rstick_y,-19483
37636,rstick_x,16371
37636,rstick_y,-19483
37641,rstick_x,16371
37641,rstick_y,-19483
37646,rstick_x,16371
37646,rstick_y,-19483
37655,rstick_x,16371
37655,rstick_y,-19483
37660,rstick_x,16371
37660,rstick_y,-19483
37669,rstick_x,16371
37669,rstick_y,-19483
37677,rstick_x,16371
37677,rstick_y,-19483
37699,rstick_x,16371
37699,rstick_y,-19483
37704,rstick_x,15958
37704,rstick_y,-18967
37710,rstick_x,15958
37710,rstick_y,-18967
37718,rstick_x,15958
37718,rstick_y,-18967
37722,rstick_x,15599
37722,rstick_y,-18287
37725,rstick_x,15599
37725,rstick_y,-18287
37733,rstick_x,15599
37733,rstick_y,-18287
37738,rstick_x,15144
37738,rstick_y,-17390
37741,rstick_x,15144
37741,rstick_y,-17390
37753,rstick_x,15144
37753,rstick_y,-17390
37757,rstick_x,15144
37757,rstick_y,-17390
37766,rstick_x,15144
37766,rstick_y,-17390
37772,rstick_x,14462
37772,rstick_y,-15423
37781,rstick_x,14462
37781,rstick_y,-15423
37789,rstick_x,14462
37789,rstick_y,-15423
37794,rstick_x,14036
37794,rstick_y,-14050
37797,rstick_x,14036
37797,rstick_y,-14050
37803,rstick_x,14036
37803,rstick_y,-14050
37815,rstick_x,14036
37815,rstick_y,-14050
37823,rstick_x,14036
37823,rstick_y,-14050
37829,rstick_x,14036
37829,rstick_y,-14050
37839,rstick_x,14446
37839,rstick_y,-12889
37845,rstick_x,14446
37845,rstick_y,-12889
37855,rstick_x,14446
37855,rstick_y,-12889
37861,rstick_x,14446
37861,rstick_y,-12889
37869,rstick_x,14446
37869,rstick_y,-12889
37877,rstick_x,14749
37877,rstick_y,-12815
37892,rstick_x,14749
37892,rstick_y,-12815
37901,rstick_x,14749
37901,rstick_y,-12815
37907,rstick_x,15378
37907,rstick_y,-13044
37917,rstick_x,15378
37917,rstick_y,-13044
37924,rstick_x,15655
37924,rstick_y,-13232
37930,rstick_x,16113
37930,rstick_y,-13497
37933,rstick_x,16113
37933,rstick_y,-13497
37939,rstick_x,16113
37939,rstick_y,-13497
37951,rstick_x,16113
37951,rstick_y,-13497
37957,rstick_x,16113
37957,rstick_y,-13497
37965,rstick_x,16113
37965,rstick_y,-13497
37970,rstick_x,16421
37970,rstick_y,-13666
