# time_ms,control,value
22183,lstick_x,1198
22187,lstick_x,1198
22190,lstick_x,1198
22193,lstick_x,1198
22197,lstick_x,1198
22200,lstick_x,1198
22203,lstick_x,1198
22205,lstick_x,1198
22209,lstick_x,1198
22213,lstick_x,1198
22216,lstick_x,1198
22220,lstick_x,1198
22223,lstick_x,1198
22226,lstick_x,1198
22229,lstick_x,1198
22232,lstick_x,1198
22235,lstick_x,1198
22238,lstick_x,1198
22242,lstick_x,1198
22245,lstick_x,1198
22248,lstick_x,1198
22252,lstick_x,1198
22255,lstick_x,1198
22258,lstick_x,1198
22261,lstick_x,1198
22265,lstick_x,1198
22268,lstick_x,1198
22272,lstick_x,1198
22275,lstick_x,1198
22280,lstick_x,1198
22283,lstick_x,1198
22287,lstick_x,1198
22290,lstick_x,1198
22293,lstick_x,1198
22298,lstick_x,1198
22301,lstick_x,1198
22305,lstick_x,1198
22308,lstick_x,1198
22315,lstick_x,1198
22318,lstick_x,1198
22322,lstick_x,1198
22325,lstick_x,1198
22330,lstick_x,1198
22333,lstick_x,1198
22336,lstick_x,1198
22339,lstick_x,1198
22342,lstick_x,1198
22347,lstick_x,1198
22350,lstick_x,1198
22353,lstick_x,1198
22356,lstick_x,1198
22360,lstick_x,1198
22365,lstick_x,1198
22368,lstick_x,1198
22373,lstick_x,1198
22376,lstick_x,1198
22381,lstick_x,1198
22384,lstick_x,1198
22387,lstick_x,1198
22390,lstick_x,1198
22393,lstick_x,1198
22397,lstick_x,1198
22400,lstick_x,1198
22403,lstick_x,1198
22406,lstick_x,1198
22409,lstick_x,1198
22413,lstick_x,1198
22417,lstick_x,1198
22419,lstick_x,1198
22422,lstick_x,1198
22425,lstick_x,1198
22429,lstick_x,1198
22432,lstick_x,1198
22435,lstick_x,1198
22439,lstick_x,1198
22442,lstick_x,1198
22445,lstick_x,1198
22448,lstick_x,1198
22451,lstick_x,1198
22455,lstick_x,1198
22459,lstick_x,1198
22465,lstick_x,1198
22468,lstick_x,1198
22472,lstick_x,1198
