# time_ms,control,value
71738,lstick_y,-1215
71747,lstick_y,-1215
71755,lstick_y,-1215
71763,lstick_y,-1215
71771,lstick_y,-1215
71779,lstick_y,-1215
71787,lstick_y,-1300
71791,lstick_y,-1300
71795,lstick_y,-1300
71800,lstick_y,-1300
71803,lstick_y,-1300
71811,lstick_y,-1300
71819,lstick_y,-1300
71824,lstick_y,-1300
71827,lstick_y,-1300
71835,lstick_y,-1300
71843,lstick_y,-1300
71851,lstick_y,-1300
71859,lstick_y,-1300
71867,lstick_y,-1300
71873,lstick_y,-1300
71877,lstick_y,-1300
71883,lstick_y,-1300
71891,lstick_y,-1300
71899,lstick_y,-1300
71906,lstick_y,-1300
71915,lstick_y,-1300
71923,lstick_y,-1300
71931,lstick_y,-1300
71939,lstick_y,-1300
71947,lstick_y,-1300
71955,lstick_y,-1300
71959,lstick_y,-1300
71963,lstick_y,-1300
71967,lstick_y,-1300
71971,lstick_y,-1300
71979,lstick_y,-1300
71987,lstick_y,-1300
71995,lstick_y,-1300
72003,lstick_y,-1300
72011,lstick_y,-1300
72019,lstick_y,-1300
72027,lstick_y,-1300
72035,lstick_y,-1300
72042,lstick_y,-1300
72046,lstick_y,-1300
72050,lstick_y,-1300
72059,lstick_y,-1300
72067,lstick_y,-1300
72073,lstick_y,-1300
72075,lstick_y,-1300
72084,lstick_y,-1300
72091,lstick_y,-1300
72100,lstick_y,-1300
72107,lstick_y,-1300
72115,lstick_y,-1300
72123,lstick_y,-1300
72130,lstick_y,-1300
72133,lstick_y,-1300
72139,lstick_y,-1300
72147,lstick_y,-1300
72156,lstick_y,-1300
72163,lstick_y,-1300
72171,lstick_y,-1300
72179,lstick_y,-1300
72187,lstick_y,-1300
72195,lstick_y,-1300
72204,lstick_y,-1300
72209,lstick_y,-1300
72217,lstick_y,-1300
72219,lstick_y,-1300
72227,lstick_y,-1300
72235,lstick_y,-1300
72238,lstick_y,-1300
72243,lstick_y,-1300
72251,lstick_y,-1300
72259,lstick_y,-1300
72267,lstick_y,-1300
72275,lstick_y,-1300
72283,lstick_y,-1300
72291,lstick_y,-1300
72296,lstick_y,-1300
72299,lstick_y,-1300
72307,lstick_y,-1300
72315,lstick_y,-1300
72323,lstick_y,-1300
72331,lstick_y,-1300
72339,lstick_y,-1300
72347,lstick_y,-1300
72355,lstick_y,-1300
72363,lstick_y,-1300
72371,lstick_y,-1300
72377,lstick_y,-1300
72379,lstick_y,-1300
72383,lstick_y,-1300
72387,lstick_y,-1300
72395,lstick_y,-1300
72403,lstick_y,-1300
72411,lstick_y,-1300
72419,lstick_y,-1300
72427,lstick_y,-1300
72435,lstick_y,-1300
72443,lstick_y,-1300
72451,lstick_y,-1300
72456,lstick_y,-1311
72459,lstick_y,-1311
72467,lstick_y,-1311
72475,lstick_y,-1311
72483,lstick_y,-1311
72486,lstick_y,-1311
72491,lstick_y,-1311
72499,lstick_y,-1311
72507,lstick_y,-1311
72515,lstick_y,-1311
72523,lstick_y,-1311
72531,lstick_y,-1311
72535,lstick_y,-1311
72539,lstick_y,-1311
72543,lstick_y,-1311
72547,lstick_y,-1311
72555,lstick_y,-1311
72563,lstick_y,-1311
72578,lstick_y,-1311
72587,lstick_y,-1311
72595,lstick_y,-1311
72603,lstick_y,-1311
72612,lstick_y,-1311
72618,lstick_y,-1311
72623,lstick_y,-1311
72626,lstick_y,-1311
72629,lstick_y,-1311
72633,lstick_y,-1311
72644,lstick_y,-1311
72651,lstick_y,-1311
72656,lstick_y,-1311
72659,lstick_y,-1311
72667,lstick_y,-1311
72675,lstick_y,-1311
72683,lstick_y,-1311
72692,lstick_y,-1311
72699,lstick_y,-1311
72705,lstick_y,-1311
72708,lstick_y,-1311
72715,lstick_y,-1311
72723,lstick_y,-1311
72731,lstick_y,-1311
72736,lstick_y,-1311
72739,lstick_y,-1311
72748,lstick_y,-1311
72755,lstick_y,-1311
72763,lstick_y,-1311
72771,lstick_y,-1311
72779,lstick_y,-1311
72788,lstick_y,-1311
72793,lstick_y,-1311
72796,lstick_y,-1311
72800,lstick_y,-1311
72803,lstick_y,-1311
72812,lstick_y,-1311
72819,lstick_y,-1311
72827,lstick_y,-1311
72835,lstick_y,-1311
72843,lstick_y,-1311
72851,lstick_y,-1311
72859,lstick_y,-1311
72867,lstick_y,-1311
72871,lstick_y,-1311
72874,lstick_y,-1311
72877,lstick_y,-1311
72882,lstick_y,-1311
72891,lstick_y,-1311
72899,lstick_y,-1311
72903,lstick_y,-1311
72908,lstick_y,-1311
72915,lstick_y,-1311
72923,lstick_y,-1311
72931,lstick_y,-1311
72939,lstick_y,-1311
72948,lstick_y,-1311
72953,lstick_y,-1311
72955,lstick_y,-1311
72960,lstick_y,-1311
72963,lstick_y,-1311
72971,lstick_y,-1311
72979,lstick_y,-1311
72995,lstick_y,-1311
73003,lstick_y,-1311
73012,lstick_y,-1311
73019,lstick_y,-1311
73027,lstick_y,-1311
73034,lstick_y,-1311
73038,lstick_y,-1311
73042,lstick_y,-1311
73051,lstick_y,-1311
73059,lstick_y,-1311
73064,lstick_y,-1311
73067,lstick_y,-1311
73075,lstick_y,-1311
73084,lstick_y,-1311
73091,lstick_y,-1311
73099,lstick_y,-1311
73107,lstick_y,-1311
73116,lstick_y,-1311
73120,lstick_y,-1311
73123,lstick_y,-1311
73131,lstick_y,-1311
73139,lstick_y,-1311
73147,lstick_y,-1311
73155,lstick_y,-1311
73164,lstick_y,-1311
73171,lstick_y,-1311
73179,lstick_y,-1311
73187,lstick_y,-1311
73195,lstick_y,-1311
73199,lstick_y,-1311
73203,lstick_y,-1311
73207,lstick_y,-1311
73209,lstick_y,-1311
73212,lstick_y,-1311
73217,lstick_y,-1311
73227,lstick_y,-1311
73235,lstick_y,-1311
73241,lstick_y,-1311
73251,lstick_y,-1311
73259,lstick_y,-1311
73267,lstick_y,-1311
73275,lstick_y,-1311
73283,lstick_y,-1311
73291,lstick_y,-1311
73296,lstick_y,-1311
