canary	gold_path	build_commit	build_date	xemu_version	gpu_family	macos_version	flags	frame	source_run	threshold_pct	notes
pgr2	pgr2/f900.png	03d38ca1f1290c4aeeb8292b9cc00ea2c3ad040f	2026-05-04	0.8.134-88-gbaa7aa2542	Apple9	26.4.1	XEMU_RENDERER=METAL XEMU_METAL_TRANSLATED_PIPELINE=1 XEMU_NATIVE_TRI_DEPTH=1 XEMU_NATIVE_QUAD=1 XEMU_PGRAPH_FAST_READ=1 XEMU_METAL_FRONT_FB_FALLBACK=1 XEMU_METAL_MSAA=4	900	benchmark-runs/20260504-100458-pgr2	1.0	promoted from visual-checks/ on 2026-05-04; HUD off; MSAA store/resolve fix landed; build_commit recorded at promotion time
rainbow	rainbow/f600.png	03d38ca1f1290c4aeeb8292b9cc00ea2c3ad040f	2026-05-04	0.8.134-88-gbaa7aa2542	Apple9	26.4.1	XEMU_RENDERER=METAL XEMU_METAL_TRANSLATED_PIPELINE=1 XEMU_NATIVE_TRI_DEPTH=1 XEMU_NATIVE_QUAD=1 XEMU_PGRAPH_FAST_READ=1 XEMU_METAL_FRONT_FB_FALLBACK=1 XEMU_METAL_MSAA=4	600	benchmark-runs/20260504-100546-rainbow-six-3	1.0	promoted from visual-checks/ on 2026-05-04; HUD off; MSAA store/resolve fix landed; build_commit recorded at promotion time
halo	halo/f1200.png	03d38ca1f1290c4aeeb8292b9cc00ea2c3ad040f	2026-05-04	0.8.134-88-gbaa7aa2542	Apple9	26.4.1	XEMU_RENDERER=METAL XEMU_METAL_TRANSLATED_PIPELINE=1 XEMU_NATIVE_TRI_DEPTH=1 XEMU_NATIVE_QUAD=1 XEMU_PGRAPH_FAST_READ=1 XEMU_METAL_FRONT_FB_FALLBACK=1 XEMU_METAL_MSAA=4	1200	benchmark-runs/20260504-101125-halo-ce	1.0	promoted from visual-checks/ on 2026-05-04; HUD off; MSAA store/resolve fix landed; build_commit recorded at promotion time
boot	boot/f300.png	03d38ca1f1290c4aeeb8292b9cc00ea2c3ad040f	2026-05-04	0.8.134-88-gbaa7aa2542	Apple9	26.4.1	XEMU_RENDERER=METAL XEMU_METAL_TRANSLATED_PIPELINE=1 XEMU_NATIVE_TRI_DEPTH=1 XEMU_NATIVE_QUAD=1 XEMU_PGRAPH_FAST_READ=1 XEMU_METAL_FRONT_FB_FALLBACK=1 XEMU_METAL_MSAA=4	300	benchmark-runs/20260504-100747-crimson-skies	1.0	promoted from visual-checks/ on 2026-05-04; HUD off; MSAA store/resolve fix landed; build_commit recorded at promotion time
